,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
134,2016-07-01,The BFG 2016,140000000,55483770,199646680,144162910,59646680,2016,"Adventure,Family,Fantasy",Steven Spielberg,-60.36873571428571,2.973507142857143,42.60477142857143
135,2016-02-26,Gods of Egypt 2016,140000000,31153464,138836756,107683292,-1163244,2016,"Action,Adventure,Fantasy",Alex Proyas,-77.74752571428571,-23.08336285714286,-0.8308885714285714
136,2013-03-22,The Croods 2013,135000000,187168425,573068425,385900000,438068425,2013,"Action,Adventure,Animation","Chris Sanders, Kirk DeMicco",38.643277777777776,185.85185185185185,324.4951296296296
137,2015-12-25,The Revenant 2015,135000000,183637894,532938302,349300408,397938302,2015,"Action,Adventure,Biography",Alejandro G. Iñárritu,36.02806962962963,158.74104296296295,294.7691125925926
138,2011-03-04,Rango 2011,135000000,123477607,245724600,122246993,110724600,2011,"Adventure,Animation,Comedy",Gore Verbinski,-8.535105925925926,-9.446671851851853,82.01822222222222
139,2013-07-17,Turbo 2013,135000000,83028130,286896578,203868448,151896578,2013,"Adventure,Animation,Comedy",David Soren,-38.497681481481486,51.01366518518519,112.51598370370371
140,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows 2016,135000000,82051601,245328374,163276773,110328374,2016,"Action,Adventure,Comedy",Dave Green,-39.2210362962963,20.945757777777775,81.72472148148148
141,2011-11-18,Happy Feet Two 2011,135000000,64006466,157956466,93950000,22956466,2011,"Adventure,Animation,Comedy","George Miller, Gary Eck, David Peers",-52.58780296296296,-30.407407407407405,17.00478962962963
142,2018-11-02,The Nutcracker and the Four Realms 2018,132900000,54858851,170293899,115435048,37393899,2018,"Adventure,Family,Fantasy","Joe Johnston, Lasse Hallström",-58.72170729872084,-13.141423626787057,28.1368690744921
143,2014-11-26,Penguins of Madagascar 2014,132000000,83350911,366942531,283591620,234942531,2014,"Adventure,Animation,Comedy","Eric Darnell, Simon J. Smith",-36.85537045454546,114.84213636363636,177.9867659090909
144,2013-11-22,The Hunger Games: Catching Fire 2013,130000000,424668047,864868047,440200000,734868047,2013,"Action,Adventure,Sci-Fi",Francis Lawrence,226.66772846153847,238.61538461538464,565.2831130769231
145,2018-07-06,Ant-Man and the Wasp 2018,130000000,216648740,623144660,406495920,493144660,2018,"Action,Adventure,Comedy",Peyton Reed,66.65287692307692,212.6891692307692,379.3420461538461
146,2015-07-17,Ant-Man 2015,130000000,180202163,518858449,338656286,388858449,2015,"Action,Adventure,Comedy",Peyton Reed,38.61704846153846,160.50483538461538,299.1218838461538
147,2015-03-27,Home 2015,130000000,177397510,385997896,208600386,255997896,2015,"Adventure,Animation,Comedy",Tim Johnson,36.45962307692307,60.461835384615384,196.92145846153846
151,2018-12-19,Mary Poppins Returns 2018,130000000,171958438,341528518,169570080,211528518,2018,"Comedy,Family,Fantasy",Rob Marshall,32.27572153846154,30.43852307692308,162.71424461538462
